Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
NGL848737,Leasehold,"Sixth Floor Premises, 20 St James's Street, London (SW1A 1ES)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,SW1A 1ES,N,,SMEDVIG CAPITAL LIMITED,03121131,Limited Company or Public Limited Company,"20 St James's Street, London SW1A 1JD",,,,,,,,,,,,,,,,,,,,,02-06-2005,N
NYK43001,Freehold,"Tudor House, Fulwith Road, Harrogate (HG2 8HL)",HARROGATE,NORTH YORKSHIRE,YORKS AND HUMBER,HG2 8HL,N,470000,MANOR ESTATE PROPERTIES (UK) LIMITED,03458776,Limited Company or Public Limited Company,"Littlethorpe Manor, Littlethorpe, Ripon HG4 3LG",,,,,,,,,,,,,,,,,,,,,08-05-2003,N
NYK210084,Freehold,"21 Cavendish Avenue, Harrogate (HG2 8HY)",HARROGATE,NORTH YORKSHIRE,YORKS AND HUMBER,HG2 8HY,N,245000,MANOR ESTATE PROPERTIES (UK) LIMITED,03458776,Limited Company or Public Limited Company,"Littlethorpe Manor, Littlethorpe, Ripon HG4 3LG",,,,,,,,,,,,,,,,,,,,,13-10-1998,N
TT56979,Leasehold,"Unit 7 Priory Gate, 29 Union Street, Maidstone (ME14 1PT)",MAIDSTONE,KENT,SOUTH EAST,ME14 1PT,N,,NORWEX UK LTD,09874566,Limited Company or Public Limited Company,"Two Snowhill, Birmingham B4 6WR",,,,,,,,,,,,,,,,,,,,,28-10-2016,N
SGL731793,Leasehold,"52 Canbury Park Road, Kingston Upon Thames (KT2 6JE)",KINGSTON UPON THAMES,GREATER LONDON,GREATER LONDON,KT2 6JE,N,,BALLETBOYZ LIMITED,04109324,Limited Company or Public Limited Company,"Sadlers Wells, Rosebury Avenue, London EC1R 4TN","7 Bath Place, London EC2A 3DR",,,,,,,,,,,,,,,,,,,,11-07-2012,N
K247652,Freehold,"4, land at the back of 6, 12, 14, 16, 18, land at the back of 20, and land to the south east side of Blackhouse Hill, Hythe, (CT21 5UL)",SHEPWAY,KENT,SOUTH EAST,CT21 5UL,N,,CANNONGATE ESTATES LIMITED,00706165,Limited Company or Public Limited Company,"1 Mills Yard, London SW6 3AQ",,,,,,,,,,,,,,,,,,,,,25-06-1965,N
EX909186,Freehold,"69 High Street, Southend-On-Sea (SS1 1HZ)",SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,SOUTH EAST,SS1 1HZ,N,,LOCKER AND RILEY (MOULDINGS) LTD,03670383,Limited Company or Public Limited Company,"40 Bancrofts Road, South Woodham Ferrers, Chelmsford CM3 5UQ",,,,,,,,,,,,,,,,,,,,,19-08-2014,N
EX613603,Freehold,"71, 71A, 71B, 71C High Street and Milton Chambers, Southend-on-Sea (SS1 1HZ)",SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,SOUTH EAST,SS1 1HZ,N,450000,LOCKER & RILEY (MOULDINGS) LIMITED,03670383,Limited Company or Public Limited Company,"40 Bancrofts Road, South Woodham Ferrers, Chelmsford CM3 5UQ",,,,,,,,,,,,,,,,,,,,,01-06-2016,N
NGL972023,Leasehold,"Roof And Airspace, 28 Devonshire Place, London (W1G 6JG)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,W1G 6JG,N,70000,28 DPM LIMITED,09345484,Limited Company or Public Limited Company,"14 Eaton Mews South, London SW1W 9HP",,,,,,,,,,,,,,,,,,,,,14-08-2017,N
WYK886801,Freehold,"21-25 (odd), Leicester Street, Bradford (BD4 7HT)",BRADFORD,WEST YORKSHIRE,YORKS AND HUMBER,BD4 7HT,N,,HAYAT DEVELOPMENTS LIMITED,07074626,Limited Company or Public Limited Company,"11 St Andrews Street, Blackburn, Lancashire BB1 8AE",,,,,,,,,,,,,,,,,,,,,07-12-2009,N
CL317744,Freehold,"Land on the north side of Station Road, Truro",CORNWALL,CORNWALL,SOUTH WEST,,N,,WOLF ROCK (CORNWALL) LIMITED,09842655,Limited Company or Public Limited Company,"16 Lemon Street, Truro TR1 2LS",,,,,,,,,,,,,,,,,,,,,11-04-2016,N
TGL382956,Leasehold,"Part of Fifth Floor, Blue Fin Building, 110 Southwark Street, London (SE1 0SU)",SOUTHWARK,GREATER LONDON,GREATER LONDON,SE1 0SU,N,,CONFIRMIT LTD,04122071,Limited Company or Public Limited Company,"Fifth Floor, Blue Fin Building, 110 Southwark Street, London SE1 0SU",,,,,,,,,,,,,,,,,,,,,05-08-2013,N
DN688567,Freehold,"22 Elmfield Way, Kingsteignton (TQ12 3GY) and 15-21 (odd) Greenhill Road, Kingsteignton (TQ12 3BD)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 3GY,N,153900,TEIGN HOUSING,04619035,Unlimited Company,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,11-09-2017,N
DN604441,Freehold,"Land adjoining 2 Ridgnor, North Bovey, Newton Abbot (TQ13 8QX)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ13 8QX,N,,TEIGN HOUSING,04619035,Housing Association/Society (Corporate Body),"Templar House, Collett Way, Newton Abbot, Devon TQ12 4PH",,,,,,,,,,,,,,,,,,,,,16-09-2010,N
DN530937,Freehold,"5 Wood Cottages, Cummings Cross, Liverton, Newton Abbot (TQ12 6HJ)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 6HJ,N,160000,TEIGN HOUSING,04619035,Corporate Body,"Templar House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,22-10-2013,N
DN665876,Freehold,"17-21 Goldfinch Close, Kingsteignton, Newton Abbot (TQ12 3FQ)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 3FQ,N,,TEIGN HOUSING,04619035,Registered Society (Corporate Body),"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,06-01-2016,N
DN633726,Freehold,"land on the east side of George Street, Newton Abbot",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Corporate Body,"Templar House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,24-04-2013,N
DN607133,Freehold,"Land on the west side of Wet Lane, Christow, Exeter",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Corporate Body,"Templar House, Collett Way, Newton Abbot, Devon TQ12 4PH",,,,,,,,,,,,,,,,,,,,,07-04-2011,N
DN687822,Freehold,"42-44 (evens), Hockmore Drive, Newton Abbot (TQ12 4FB)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 4FB,N,,TEIGN HOUSING,04619035,Housing Association/Society (Corporate Body),"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,17-08-2017,N
DN475723,Freehold,"Bradley Mill, Bradley Lane, Newton Abbot (TQ12 1LZ)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 1LZ,N,,TEIGN HOUSING,04619035,Housing Association/Society (Corporate Body),"Templar House, Collett Way, Newton Abbot, Devon TQ12 4PH",,,,,,,,,,,,,,,,,,,,,09-01-2012,N
DN671726,Freehold,"36-42 (even), Robin Way, Kingsteignton, Newton Abbot (TQ12 3FF)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 3FF,N,41489,TEIGN HOUSING,04619035,Unlimited Company,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,03-06-2016,N
DN665871,Freehold,"19-27 (odds), Camomile Way, Newton Abbot (TQ12 1US)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 1US,N,,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,06-01-2016,N
DN690389,Freehold,"1-8 (inclusive) Acer Terrace, Cheriton Bishop, Exeter (EX6 6BL)",TEIGNBRIDGE,DEVON,SOUTH WEST,EX6 6BL,N,,TEIGN HOUSING,04619035,Housing Association/Society (Corporate Body),"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,01-11-2017,N
DN645156,Leasehold,"land lying to the north-east of Layne Fields, Christow, Exeter",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,07-05-2014,N
DN661035,Freehold,"Land adjoining 14 Holbeam Close, Newton Abbot",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,17-08-2015,N
DN685952,Freehold,"12-26 Hawkweed Close, Newton Abbot (TQ12 1WB)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 1WB,N,,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,29-06-2017,N
DN687877,Freehold,"54-60 (evens), Hockmore Drive, Newton Abbot (TQ12 4FB)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 4FB,N,,TEIGN HOUSING,04619035,Housing Association/Society (Corporate Body),"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,18-08-2017,N
DN688086,Freehold,"12 to 28 (even), Moorhen Close, Kingsteignton, Newton Abbot and parking spaces (TQ12 3FU)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 3FU,N,,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,24-08-2017,N
DN568258,Freehold,"Plots 21-29, Wildwood Hill, Drake Road, Newton Abbot",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Housing Association/Society (Corporate Body),"Templar House, Collett Way, Newton Abbot, Devon TQ12 4PH",,,,,,,,,,,,,,,,,,,,,30-04-2008,N
DN691976,Freehold,"12, 14, 17, 19 and, 21 Bunting Way, Dawlish (EX7 0GG)",TEIGNBRIDGE,DEVON,SOUTH WEST,EX7 0GG,N,75000,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,13-12-2017,N
DN678282,Freehold,"10-14 Mallard Close, Kingsteignton, Newton Abbot (TQ12 3FT)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 3FT,N,44722,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,01-12-2016,N
DN644897,Freehold,"land lying to the north-east of Layne Fields, Christow, Exeter",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,28-04-2014,N
DN671987,Freehold,"14-22 (evens), Hockmore Drive, Newton Abbot and parking spaces (TQ12 4FB)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 4FB,N,262650,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,10-06-2016,N
DN587582,Freehold,"Land lying to the north and west of Queensway, Newton Abbot",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,,TEIGN HOUSING,04619035,Corporate Body,"Templar House, Collett Way, Newton Abbot, Devon TQ12 4PH",,,,,,,,,,,,,,,,,,,,,23-04-2009,N
DN671992,Freehold,"Plots 15-24, Hockmore Drive, Newton Abbot and parking spaces",TEIGNBRIDGE,DEVON,SOUTH WEST,,N,300550,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,10-06-2016,N
DN671994,Freehold,"19-25 (odds), Hockmore Drive, Newton Abbot (TQ12 4FH)",TEIGNBRIDGE,DEVON,SOUTH WEST,TQ12 4FH,N,94140,TEIGN HOUSING,04619035,Corporate Body,"Millwood House, Collett Way, Newton Abbot TQ12 4PH",,,,,,,,,,,,,,,,,,,,,,N
AGL219364,Leasehold,"Fourth Floor Premises, 140 Aldersgate Street, London (EC1A 4HY)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,EC1A 4HY,N,,MELTWATER NEWS UK LIMITED,04575191,Limited Company or Public Limited Company,"Fourth Floor, 140 Aldersgate Street, London EC1A 4HY",,,,,,,,,,,,,,,,,,,,,07-10-2010,N
ST287920,Leasehold,"Kings Court, Union Street, Bath (BA1 1RT)",BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,SOUTH WEST,BA1 1RT,N,,KINGS COURT TRUST CORPORATION PLC,04508778,Limited Company or Public Limited Company,"Kings Court, Union Street, Bath BA1 1RT",,,,,,,,,,,,,,,,,,,,,18-10-2010,N
ST292299,Leasehold,"Kings Court, Union Street, Bath (BA1 1RT)",BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,SOUTH WEST,BA1 1RT,N,,KINGS COURT TRUST CORPORATION PLC,04508778,Limited Company or Public Limited Company,"Kings Court, Parsonage Lane, Bath BA1 1ER",,,,,,,,,,,,,,,,,,,,,28-06-2011,N
WM125446,Freehold,"14 Adelaide Street, Hillfields, Coventry (CV1 5GT)",COVENTRY,WEST MIDLANDS,WEST MIDLANDS,CV1 5GT,N,,KINGS COURT TRUST LIMITED,04508778,Limited Company or Public Limited Company,"Kings Court, Parsonage Lane, Bath BA1 1ER",,,,,,,,,,,,,,,,,,,,,09-06-2017,N
10515,Freehold,"Land and buildings known as Belle Field, West Derby",LIVERPOOL,MERSEYSIDE,NORTH WEST,,N,,SPINAKER LIMITED,05317349,Limited Company or Public Limited Company,"Surrey House, 36-44 High Street, Redhill, Surrey RH1 1RH",,,,,,,,,,,,,,,,,,,,,07-01-2009,N
10515,Freehold,"Land and buildings known as Belle Field, West Derby",LIVERPOOL,MERSEYSIDE,NORTH WEST,,N,,SPINAKER LIMITED,05317349,Limited Company or Public Limited Company,"Surrey House, 36-44 High Street, Redhill, Surrey RH1 1RH",,,,,,,,,,,,,,,,,,,,,07-01-2009,N
10515,Freehold,"Land and buildings known as Belle Field, West Derby",LIVERPOOL,MERSEYSIDE,NORTH WEST,,N,,SPINAKER LIMITED,05317349,Limited Company or Public Limited Company,"Surrey House, 36-44 High Street, Redhill, Surrey RH1 1RH",,,,,,,,,,,,,,,,,,,,,07-01-2009,N
ESX310699,Leasehold,"24 High Street, Lewes (BN7 2LU)",LEWES,EAST SUSSEX,SOUTH EAST,BN7 2LU,N,,MICKLE LIMITED,06730038,Limited Company or Public Limited Company,"24 High Street, Lewes BN7 2LU",,,,,,,,,,,,,,,,,,,,,20-04-2015,N
HS183524,Freehold,"Land at Flixborough Industrial Estate, Flixborough",NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,YORKS AND HUMBER,,N,,JOTUN PAINTS (EUROPE) LIMITED,00925019,Limited Company or Public Limited Company,"Jotun, Stather Road, Flixborough, Scunthorpe DN15 8RR","5 Parliament Street, Hull HU1 2AZ",,,,,,,,,,,,,,,,,,,,30-06-2015,N
HS190290,Freehold,"Land at Flixborough Industrial Estate, Flixborough",NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,YORKS AND HUMBER,,N,,JOTUN PAINTS (EUROPE) LIMITED,00925019,Limited Company or Public Limited Company,"Jotun, Stather Road, Flixborough, Scunthorpe DN15 8RR","5 Parliament Street, Hull HU1 2AZ",,,,,,,,,,,,,,,,,,,,30-06-2015,N
NGL948158,Freehold,"Land at Silsoe House, Park Village East, London",CAMDEN,GREATER LONDON,GREATER LONDON,,N,,SILSOE HOUSE FREEHOLD LIMITED,07482367,Limited Company or Public Limited Company,"Flat 13, Silsoe House, 50 Park Village East, London NW1 7QH",,,,,,,,,,,,,,,,,,,,,08-01-2015,N
GR214222,Freehold,"Land Lying to the North of Mill Street, Prestbury",CHELTENHAM,GLOUCESTERSHIRE,SOUTH WEST,,N,,TENVIG (UK) LIMITED,01938109,Limited Company or Public Limited Company,"Church Court Cottages, Mill Street, Prestbury, Cheltenham, Gloucestershire, GL53 3BQ",,,,,,,,,,,,,,,,,,,,,13-04-1999,N
GR214222,Freehold,"Land Lying to the North of Mill Street, Prestbury",CHELTENHAM,GLOUCESTERSHIRE,SOUTH WEST,,N,,TENVIG (UK) LIMITED,01938109,Limited Company or Public Limited Company,"Church Court Cottages, Mill Street, Prestbury, Cheltenham, Gloucestershire, GL53 3BQ",,,,,,,,,,,,,,,,,,,,,13-04-1999,N
AGL398582,Leasehold,"Flat 35, Fuse Building, Beechwood Road, London (E8 3DY)",HACKNEY,GREATER LONDON,GREATER LONDON,E8 3DY,N,715000,VALESTAR INVESTMENTS LIMITED,10462667,Limited Company or Public Limited Company,"Flat 35, Fuse Building, Beechwood Road, London E8 3DY",,,,,,,,,,,,,,,,,,,,,15-12-2016,N
TT29816,Leasehold,"Level 4, Brockbourne House, Mount Ephraim, Tunbridge Wells (TN4 8BS)",TUNBRIDGE WELLS,KENT,SOUTH EAST,TN4 8BS,N,,DOLPHIN GEOPHYSICAL LIMITED,07474273,Limited Company or Public Limited Company,"Martlet House Unit E1, Yeoman Gate, Yeoman Way, Worthing BN13 3QZ",,,,,,,,,,,,,,,,,,,,,23-10-2014,N
TT26690,Leasehold,"Level 5, Brockbourne House, Mount Ephraim, Tunbridge Wells (TN4 8BS)",TUNBRIDGE WELLS,KENT,SOUTH EAST,TN4 8BS,N,,DOLPHIN GEOPHYSICAL LIMITED,07474273,Limited Company or Public Limited Company,"Martlet House Unit E1, Yeoman Gate, Yeoman Way, Worthing BN13 3QZ",,,,,,,,,,,,,,,,,,,,,18-07-2014,N
TT29816,Leasehold,"Level 4, Brockbourne House, Mount Ephraim, Tunbridge Wells (TN4 8BS)",TUNBRIDGE WELLS,KENT,SOUTH EAST,TN4 8BS,N,,DOLPHIN GEOPHYSICAL LIMITED,07474273,Limited Company or Public Limited Company,"Martlet House Unit E1, Yeoman Gate, Yeoman Way, Worthing BN13 3QZ",,,,,,,,,,,,,,,,,,,,,23-10-2014,N
TT26690,Leasehold,"Level 5, Brockbourne House, Mount Ephraim, Tunbridge Wells (TN4 8BS)",TUNBRIDGE WELLS,KENT,SOUTH EAST,TN4 8BS,N,,DOLPHIN GEOPHYSICAL LIMITED,07474273,Limited Company or Public Limited Company,"Martlet House Unit E1, Yeoman Gate, Yeoman Way, Worthing BN13 3QZ",,,,,,,,,,,,,,,,,,,,,18-07-2014,N
SYK86979,Freehold,"20 Highfield Road, Doncaster (DN1 2LA)",DONCASTER,SOUTH YORKSHIRE,YORKS AND HUMBER,DN1 2LA,N,158000,SOARING PROPERTIES LTD,10558929,Limited Company or Public Limited Company,"Milton House, 33a Milton Road, Hampton TW12 2LL",,,,,,,,,,,,,,,,,,,,,05-09-2017,N
SYK117804,Freehold,"32 Highfield Road, Doncaster (DN1 2LA)",DONCASTER,SOUTH YORKSHIRE,YORKS AND HUMBER,DN1 2LA,N,160000,SOARING PROPERTIES LIMITED,10558929,Limited Company or Public Limited Company,"32 Highfield Road, Doncaster DN1 2LA","33a Milton Road, Hampton TW12 2LL","Sorgengkaia 70, 0194, Oslo, Norway",,,,,,,,,,,,,,,,,,,02-06-2017,N
K109818,Freehold,"56 Ethelbert Road, Margate (CT9 1SB)",THANET,KENT,SOUTH EAST,CT9 1SB,N,,56 ETHELBERT ROAD (MARGATE) LIMITED,10570296,Limited Company or Public Limited Company,"17 Oaks Park, Rough Common, Canterbury CT2 9DP",,,,,,,,,,,,,,,,,,,,,28-04-2017,N
NGL957023,Leasehold,"11-15 Arlington Street, London (SW1A 1RD)",CITY OF WESTMINSTER,GREATER LONDON,GREATER LONDON,SW1A 1RD,N,,RYGER INVESTMENT LIMITED,08349914,Limited Company or Public Limited Company,"20 St. James's Street, London SW1A 1ES",,,,,,,,,,,,,,,,,,,,,20-01-2016,N
WYK746892,Freehold,"Block B, Centre 27 Business Park, Woodhead Road, Birstall, Batley (WF17 9TD)",KIRKLEES,WEST YORKSHIRE,YORKS AND HUMBER,WF17 9TD,N,1550000,CRYSTAL 1 LIMITED,06832546,Limited Company or Public Limited Company,"Bridge Street Chambers, 72 Bridge Street, Manchester M3 2RJ",,,,,,,,,,,,,,,,,,,,,30-11-2017,N
NGL910099,Leasehold,"Retail Units 3 And 4, One, Southampton Row, London (WC1B 5HA)",CAMDEN,GREATER LONDON,GREATER LONDON,WC1B 5HA,N,,METRO BANK PLC,06479578,Limited Company or Public Limited Company,"One, Southampton Row, London WC1B 5HA",,,,,,,,,,,,,,,,,,,,,15-04-2010,N
ND159016,Leasehold,"Unit 6-7, Northumberland Business Park West, Cramlington",NORTHUMBERLAND,NORTHUMBERLAND,NORTH,,N,,ADVANTICA LIMITED,03294136,Limited Company or Public Limited Company,"Holywell Park, New Ashbury Road, Loughborough, Leics LE11 3GR",,,,,,,,,,,,,,,,,,,,,15-09-2008,N
TGL398533,Freehold,"Land lying to the north of 15 Castle Mews, Hampton (TW12 2NP)",RICHMOND UPON THAMES,GREATER LONDON,GREATER LONDON,TW12 2NP,N,,M.M.C. INVESTMENTS LIMITED,01100851,Limited Company or Public Limited Company,"12 Castle Business Village, Station Road, Hampton TW12 2BX",,,,,,,,,,,,,,,,,,,,,07-05-2014,N
TGL404955,Leasehold,"Unit 3, Kennett House, 8 Enterprise Way, London SW18 1GF",WANDSWORTH,GREATER LONDON,GREATER LONDON,SW18 1GF,N,,SUEHIRO LIMITED,08852056,Limited Company or Public Limited Company,"Unit 8, Carlson Court, 116 Putney Bridge Road, London SW15 2NQ",,,,,,,,,,,,,,,,,,,,,07-08-2014,N
HS140366,Leasehold,"Flat 20, Carlton House, 307-311 Anlaby Road, Kingston upon Hull (HU3 2SB)",CITY OF KINGSTON UPON HULL,CITY OF KINGSTON UPON HULL,YORKS AND HUMBER,HU3 2SB,N,29500,LARSEN'S PROPERTIES LIMITED,10602483,Limited Company or Public Limited Company,"Flat 20, Carlton House, 307-311 Anlaby Road, Hull HU3 2SB","2 High Brighton Street, Withernsea HU19 2HL",,,,,,,,,,,,,,,,,,,,15-06-2017,N
YEA61629,Leasehold,"92a Queen Street, Withernsea (HU19 2HB)",EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,YORKS AND HUMBER,HU19 2HB,N,38878,LARSENS PROPERTIES LIMITED,10602483,Limited Company or Public Limited Company,"2 High Brighton Street, Withernsea HU19 2HL",,,,,,,,,,,,,,,,,,,,,17-02-2017,N
DN85818,Freehold,"100 Fore Street, Heavitree",EXETER,DEVON,SOUTH WEST,,N,,GALLEON CLAYGATE LIMITED,00340130,Limited Company or Public Limited Company,"216-230 Red Lion Road, Tolworth, Surbiton, Surrey, KT6 7RB",,,,,,,,,,,,,,,,,,,,,05-10-1995,N
BGL92111,Leasehold,"Flat A, 276 King Street, London (W6 0SP)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W6 0SP,N,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,12-09-2012,N
BGL95887,Leasehold,"54a St Elmo Road, London (W12 9DX)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W12 9DX,N,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"Second Floor, 11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,04-04-2013,N
BGL38612,Leasehold,"17 Burleigh House, St Charles' Square, London (W10 6HB)",KENSINGTON AND CHELSEA,GREATER LONDON,GREATER LONDON,W10 6HB,N,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,07-10-2011,N
BGL48436,Leasehold,"26a Pavilion Terrace, Wood Lane, London and the staircase leading thereto (W12 0HT)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W12 0HT,N,849950,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"2nd Floor, 11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,06-01-2016,N
LN243555,Freehold,"26 and 26a Pavilion Terrace, Wood Lane, London (W12 0HT)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W12 0HT,N,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,18-03-2016,N
LN135267,Freehold,"53 Percy Road, London (W12 9PX)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W12 9PX,N,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,10-11-2011,Y
AGL159831,Leasehold,"FLAT 179, BROMYARD HOUSE BROMYARD AVENUE, LONDON W3 7BN",EALING,GREATER LONDON,GREATER LONDON,W3 7BN,Y,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,08-08-2012,N
NGL737538,Leasehold,"58c Chichester Road, London (NW6 5QS)",BRENT,GREATER LONDON,GREATER LONDON,NW6 5QS,N,249500,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"MW Law Services Limited, 11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,27-10-2011,N
NGL577681,Leasehold,"53 Percy Road, London (W12 9PX)",HAMMERSMITH AND FULHAM,GREATER LONDON,GREATER LONDON,W12 9PX,N,,ARENA PROPERTY INVESTMENT LIMITED,07503137,Limited Company or Public Limited Company,"11 Pilgrim Street, London EC4V 6RN",,,,,,,,,,,,,,,,,,,,,22-12-2011,N
BL137718,Leasehold,"ground, second and third Floors, Linear Park, Avon Street, Bristol (BS2 0PS)",CITY OF BRISTOL,CITY OF BRISTOL,SOUTH WEST,BS2 0PS,N,,DET NORSKE VERITAS LIMITED,01503799,Limited Company or Public Limited Company,"Palace House, 3 Cathedral Street, London SE1 9DE",,,,,,,,,,,,,,,,,,,,,16-01-2015,N
NK452526,Leasehold,"Suite 1, Havenbridge House, North Quay, Great Yarmouth (NR30 1HZ)",GREAT YARMOUTH,NORFOLK,EAST ANGLIA,NR30 1HZ,N,,DNV GL LIMITED,01503799,Limited Company or Public Limited Company,"Palace House, 3 Cathedral Street, London SE1 9DE",,,,,,,,,,,,,,,,,,,,,06-11-2015,N
