DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
190107849,02/26/2019,11/17/2015,2000,,Central,0145,510,VEHICLE - STOLEN,,0,,,103,ALLEY,,,IC,Invest Cont,510,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
190307129,02/18/2019,10/01/2015,0001,,Southwest,0315,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0515 1251 1258 0556 0507 0512,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,2200 W  26TH                         PL,,"(34.0318, -118.3152)"
190307181,02/20/2019,01/01/2015,0001,,Southwest,0356,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1258 1251 0515 0522 2024 0360,7,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,,,,1400 W  36TH                         PL,,"(34.0219, -118.3002)"
190307182,02/20/2019,01/01/2015,0001,,Southwest,0356,760,LEWD/LASCIVIOUS ACTS WITH CHILD,1258 1251 0515 0522 2024 0360,9,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,760,,,,1400 W  36TH                         PL,,"(34.0219, -118.3002)"
190307363,02/22/2019,11/12/2015,1500,,Southwest,0313,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,420,,,,2700    EDGEHILL                     DR,,"(34.0333, -118.3311)"
190405597,02/07/2019,12/01/2015,0800,,Hollenbeck,0451,354,THEFT OF IDENTITY,0100,21,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200    GABRIEL GARCIA MARQUEZ       ST,,"(34.051, -118.227)"
190506220,02/20/2019,01/01/2015,0001,,Harbor,0587,354,THEFT OF IDENTITY,0930 0928,51,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700    HAMILTON                     PL,,"(33.7211, -118.2916)"
190506487,02/26/2019,08/25/2015,0600,,Harbor,0585,662,"BUNCO, GRAND THEFT",0701,58,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,600 W  22ND                         ST,,"(33.7243, -118.2902)"
190606930,02/20/2019,02/19/2015,2350,,Hollywood,0631,901,VIOLATION OF RESTRAINING ORDER,2038 0421,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,9000    SHOREHAM                     DR,,"(34.0915, -118.3888)"
190706043,02/11/2019,11/05/2015,1200,,Wilshire,0711,354,THEFT OF IDENTITY,0100,28,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 N  CRESCENT HEIGHTS             BL,,"(34.0782, -118.3659)"
190706474,02/20/2019,05/01/2015,1620,,Wilshire,0789,354,THEFT OF IDENTITY,0928 1822,24,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2300    9TH                          AV,,"(34.0362, -118.3272)"
190805842,02/12/2019,01/15/2015,1100,,West LA,0859,354,THEFT OF IDENTITY,1822 0100,25,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8500    ALCOTT                       ST,,"(34.0524, -118.3762)"
190806170,02/18/2019,10/01/2015,0005,,West LA,0822,121,"RAPE, FORCIBLE",1814 2000 0527 0416 0508 0446 0913 1243 0516,28,F,W,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,16300    PACIFIC COAST                HY,,"(34.043, -118.5398)"
191105621,02/01/2019,03/01/2015,0001,,Northeast,1143,354,THEFT OF IDENTITY,1822,30,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4300    PROSPECT                     AV,,"(34.1053, -118.2785)"
191206876,02/04/2019,11/15/2015,1600,,77th Street,1249,813,CHILD ANNOYING (17YRS & UNDER),0500,15,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,813,,,,6300 S  HOOVER                       ST,,"(33.982, -118.287)"
191207126,02/14/2019,06/02/2015,1800,,77th Street,1211,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0363,42,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,5300    6TH                          AV,,"(33.9941, -118.3236)"
191207870,02/26/2019,08/24/2015,1200,,77th Street,1265,354,THEFT OF IDENTITY,0100 1822 0928,35,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1400 W  81ST                         ST,,"(33.9655, -118.3003)"
191207903,02/27/2019,08/22/2015,1200,,77th Street,1203,354,THEFT OF IDENTITY,0100 0930 1822,33,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1800 W  VERNON                       AV,,"(34.0037, -118.3113)"
191406783,02/13/2019,03/01/2015,1200,,Pacific,1406,354,THEFT OF IDENTITY,1822 0928,22,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3700    MOTOR                        AV,,"(34.024, -118.409)"
191505891,02/05/2019,04/12/2015,2355,,N Hollywood,1548,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,60,F,O,111,BUS-CHARTER/PRIVATE,,,IC,Invest Cont,440,,,,11200    MAGNOLIA                     BL,,"(34.1667, -118.3702)"
191605710,02/18/2019,03/28/2015,0001,,Foothill,1653,354,THEFT OF IDENTITY,0928 1822,44,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12600    DEBELL                       ST,,"(34.2472, -118.4082)"
191705560,02/01/2019,03/01/2015,1900,,Devonshire,1781,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0429 0400,44,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,8700    VARIEL                       AV,,"(34.2282, -118.5929)"
191706165,02/18/2019,01/01/2015,1200,,Devonshire,1753,354,THEFT OF IDENTITY,1822 0928 0917,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20100    LASSEN                       ST,,"(34.2536, -118.5776)"
191706169,02/18/2019,07/01/2015,1200,,Devonshire,1735,354,THEFT OF IDENTITY,0930 1822,27,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17100    LUDLOW                       ST,,"(34.2709, -118.5048)"
191806569,02/05/2019,01/01/2015,1200,,Southeast,1829,820,ORAL COPULATION,0507 0913 2024 1259 0512,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,9800    GRAPE                        ST,,"(33.9476, -118.2367)"
191806665,02/15/2019,09/01/2015,1200,,Southeast,1822,354,THEFT OF IDENTITY,0100,22,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 E  CENTURY                      BL,,"(33.9456, -118.2739)"
192005695,02/05/2019,07/15/2015,1200,,Olympic,2014,860,BATTERY WITH SEXUAL CONTACT,0522 0913 0400,22,F,H,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,4200    BEVERLY                      BL,,"(34.0763, -118.3004)"
192005780,02/07/2019,02/07/2015,0045,,Olympic,2033,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377,18,F,O,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,3600    WILSHIRE                     BL,,"(34.0617, -118.3085)"
190107220,02/17/2019,02/19/2016,2115,,Central,0182,330,BURGLARY FROM VEHICLE,1306 0344 0321,27,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,1000 S  FLOWER                       ST,,"(34.0444, -118.2628)"
190107260,02/18/2019,02/11/2016,1200,,Central,0153,354,THEFT OF IDENTITY,0344 0377,44,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,500 S  SPRING                       ST,,"(34.0467, -118.252)"
190107492,02/18/2019,01/01/2016,1200,,Central,0153,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2004 1822 0910 0522 1258,5,F,B,902,MTA - RED LINE - PERSHING SQUARE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,500 S  HILL                         ST,,"(34.0488, -118.2518)"
190107782,02/24/2019,03/05/2016,1300,,Central,0161,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0416,46,F,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,700 S  FIGUEROA                     ST,,"(34.0483, -118.2631)"
190206481,02/09/2019,02/09/2016,2230,,Rampart,0246,624,BATTERY - SIMPLE ASSAULT,0910 0416 0301,61,F,H,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  ALVARADO                     ST,,"(34.0596, -118.2749)"
190306086,02/01/2019,03/10/2016,1200,,Southwest,0316,354,THEFT OF IDENTITY,0100 0928 1822,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2200 S  HOBART                       BL,,"(34.0363, -118.3078)"
190307019,02/16/2019,02/09/2016,1620,,Southwest,0331,354,THEFT OF IDENTITY,0928 1822,30,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2600 S  RIMPAU                       BL,,"(34.0326, -118.3471)"
190307607,02/25/2019,07/01/2016,1200,,Southwest,0358,860,BATTERY WITH SEXUAL CONTACT,2004 1501 1309,40,F,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,860,,,,36TH,PARDEE                       WY,"(34.0215, -118.2868)"
190505467,02/02/2019,03/18/2016,1000,,Harbor,0513,649,DOCUMENT FORGERY / STOLEN FELONY,1821,56,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,1400 W  I                            ST,,"(33.7799, -118.281)"
190605670,02/01/2019,02/07/2016,1900,,Hollywood,0646,624,BATTERY - SIMPLE ASSAULT,0400 0408 0555,47,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1600    VINE                         ST,,"(34.0987, -118.3337)"
190606077,02/07/2019,01/01/2016,1200,,Hollywood,0667,354,THEFT OF IDENTITY,0377,27,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1200 N  GORDON                       ST,,"(34.0926, -118.3201)"
190606264,02/10/2019,02/06/2016,1825,,Hollywood,0631,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,51,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,8800    SAINT IVES                   DR,,"(34.0939, -118.3845)"
190606947,02/20/2019,03/13/2016,1200,,Hollywood,0644,354,THEFT OF IDENTITY,0377,26,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1400 N  GARDNER                      ST,,"(34.0962, -118.3528)"
190706292,02/16/2019,02/01/2016,1300,,Wilshire,0745,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0400 0519 1300,26,M,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821,,,,5500    WILSHIRE                     BL,,"(34.0623, -118.3483)"
190706684,02/20/2019,01/01/2016,0001,,Wilshire,0742,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1241 0448 1813 1310 0319 0408 1276 1821,33,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6200    SAN VICENTE                  BL,,"(34.06, -118.3658)"
190906792,02/25/2019,01/01/2016,0001,,Van Nuys,0909,354,THEFT OF IDENTITY,0100 0928 1822,36,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13700    WYANDOTTE                    ST,,"(34.2031, -118.4313)"
191005738,02/07/2019,11/23/2016,1200,,West Valley,1034,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,37,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,18300    DOMINO                       ST,,"(34.1846, -118.5317)"
191005933,02/12/2019,11/01/2016,1700,,West Valley,1004,860,BATTERY WITH SEXUAL CONTACT,0448,38,F,W,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,18300    ROSCOE                       BL,,"(34.2208, -118.5317)"
191006431,02/25/2019,05/16/2016,1200,,West Valley,1007,354,THEFT OF IDENTITY,0377 1822 0928,45,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17100    LORNE                        ST,,"(34.2172, -118.5055)"
191106324,02/17/2019,01/01/2016,1000,,Northeast,1183,354,THEFT OF IDENTITY,0928 1822,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2000    BERKELEY                     AV,,"(34.083, -118.2589)"
191106766,02/26/2019,09/01/2016,0900,,Northeast,1184,354,THEFT OF IDENTITY,0917 1822,44,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1800    MORTON                       AV,,"(34.0831, -118.2509)"
191206499,02/05/2019,01/01/2016,2000,,77th Street,1252,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0556,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,6700    2ND                          AV,,"(33.9782, -118.3197)"
191207019,02/12/2019,08/01/2016,1300,,77th Street,1258,946,OTHER MISCELLANEOUS CRIME,0556 1251 1259,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,946,,,,7400 S  BROADWAY,,"(33.9728, -118.2783)"
191306855,02/23/2019,07/06/2016,1200,,Newton,1362,354,THEFT OF IDENTITY,1822,46,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 E  51ST                         ST,,"(33.9966, -118.2674)"
191306990,02/25/2019,09/01/2016,1800,,Newton,1347,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,20,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1600 E  33RD                         ST,,"(34.0112, -118.2459)"
191307044,02/26/2019,01/01/2016,1200,,Newton,1383,121,"RAPE, FORCIBLE",1258 1251 0913 0527 0519 0537 0515 0444,9,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,812,,,5900 S  MAIN                         ST,,"(33.9873, -118.2739)"
191506250,02/13/2019,11/14/2016,0001,,N Hollywood,1502,354,THEFT OF IDENTITY,0377 0928,36,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8100    GOODLAND                     AV,,"(34.2181, -118.4121)"
191605250,02/04/2019,08/01/2016,1200,,Foothill,1621,813,CHILD ANNOYING (17YRS & UNDER),0913 0522 1258,9,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,813,,,,14000    WEIDNER                      ST,,"(34.2621, -118.4385)"
191705701,02/06/2019,12/01/2016,1200,,Devonshire,1707,354,THEFT OF IDENTITY,1822 0928,48,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12700    NORLINA                      PL,,"(34.301, -118.5151)"
191706318,02/21/2019,01/01/2016,0001,,Devonshire,1714,354,THEFT OF IDENTITY,1822,39,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11900    LAUGHTON                     WY,,"(34.2899, -118.5345)"
191806681,02/16/2019,12/05/2016,1700,,Southeast,1822,354,THEFT OF IDENTITY,0100 1822,43,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 E  97TH                         ST,,"(33.9483, -118.2739)"
191806878,02/19/2019,02/29/2016,1200,,Southeast,1826,354,THEFT OF IDENTITY,0701,24,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,9300    MAIE                         AV,,"(33.9524, -118.2446)"
191905704,02/05/2019,09/01/2016,1200,,Mission,1918,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0360,9,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,13500    GRIDLEY                      ST,,"(34.3034, -118.4271)"
191905824,02/09/2019,11/15/2016,1200,,Mission,1913,354,THEFT OF IDENTITY,1822 0928,61,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,15100    COBALT                       ST,,"(34.315, -118.4611)"
192006019,02/07/2019,12/01/2016,0700,,Olympic,2014,860,BATTERY WITH SEXUAL CONTACT,0522,49,F,H,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,4200    BEVERLY                      BL,,"(34.0763, -118.3004)"
192006398,02/19/2019,12/01/2016,0001,,Olympic,2074,121,"RAPE, FORCIBLE",0556 0500 0537,14,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,1500 S  HOBART                       BL,,"(34.0454, -118.3053)"
192106103,02/16/2019,08/01/2016,0001,,Topanga,2134,354,THEFT OF IDENTITY,0377 1822,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,22300    SATICOY                      ST,,"(34.2083, -118.6125)"
192106204,02/19/2019,12/01/2016,1300,,Topanga,2185,310,BURGLARY,0344,58,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,22200    VENTURA                      BL,,"(34.1688, -118.6103)"
192106237,02/20/2019,02/03/2016,1200,,Topanga,2155,354,THEFT OF IDENTITY,0360 0929,66,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6000    WEEPING BANYAN               LN,,"(34.1803, -118.614)"
190106483,02/06/2019,07/27/2017,0800,,Central,0154,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,57,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,500 S  MAIN                         ST,,"(34.0467, -118.2485)"
190107448,02/20/2019,02/20/2017,1040,,Central,0182,624,BATTERY - SIMPLE ASSAULT,0416,36,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 W  OLYMPIC                      BL,,"(34.043, -118.2606)"
190205843,02/05/2019,01/01/2017,1200,,Rampart,0212,354,THEFT OF IDENTITY,0100,45,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500 N  WESTMORELAND                 AV,,"(34.0798, -118.288)"
190206401,02/14/2019,01/01/2017,1000,,Rampart,0241,354,THEFT OF IDENTITY,0100 0928,39,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,300 S  LAFAYETTE PARK               PL,,"(34.0671, -118.2806)"
190206429,02/13/2019,01/01/2017,1200,,Rampart,0265,860,BATTERY WITH SEXUAL CONTACT,1259 0913 0522 2002,14,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,700 S  WESTLAKE                     AV,,"(34.0559, -118.2756)"
190306038,02/01/2019,06/01/2017,1200,,Southwest,0334,121,"RAPE, FORCIBLE",0360 1262 0537 0527 0503,47,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,3000    EDGEHILL                     DR,,"(34.0277, -118.3305)"
190306679,02/11/2019,10/01/2017,1500,,Southwest,0353,901,VIOLATION OF RESTRAINING ORDER,0913 2038,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,3700    CRENSHAW                     BL,,"(34.0209, -118.3406)"
190307085,02/13/2019,01/01/2017,1100,,Southwest,0341,121,"RAPE, FORCIBLE",0444 0527 0537 1822 1259,15,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,COLISEUM,LA BREA,"(34.0183, -118.3556)"
190605825,02/04/2019,01/01/2017,0700,,Hollywood,0629,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0540 0421,43,M,W,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,,,,1900 N  VAN NESS                     AV,,"(34.1053, -118.3158)"
190605931,02/04/2019,12/01/2017,0005,,Hollywood,0666,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 0527 0940 1259 1251,15,F,B,109,PARK/PLAYGROUND,,,IC,Invest Cont,810,,,,1300    WILCOX                       AV,,"(34.0944, -118.331)"
190606557,02/13/2019,02/13/2017,2100,,Hollywood,0678,624,BATTERY - SIMPLE ASSAULT,0400 0429 0421 0432 0913 0443 2038,57,F,H,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,624,901,930,,900 N  HOBART                       BL,,"(34.0863, -118.3051)"
190606705,02/15/2019,12/01/2017,1200,,Hollywood,0676,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,20,F,O,108,PARKING LOT,,,IC,Invest Cont,331,,,,700    VINE                         ST,,"(34.0835, -118.3266)"
190705508,02/01/2019,11/01/2017,0005,,Wilshire,0782,354,THEFT OF IDENTITY,0928 1822,45,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2200    CLYDE                        AV,,"(34.0387, -118.3717)"
190705704,02/05/2019,02/02/2017,0005,,Wilshire,0734,354,THEFT OF IDENTITY,0929 1822,46,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,300    HAUSER                       BL,,"(34.0699, -118.3511)"
190706290,02/16/2019,02/16/2017,1300,,Wilshire,0762,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0500 1258,6,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,1500 S  POINT VIEW                   ST,,"(34.0498, -118.3706)"
190706543,02/21/2019,01/01/2017,0005,,Wilshire,0753,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1204,82,F,B,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,341,,,,1000 S  FAIRFAX                      AV,,"(34.0582, -118.3638)"
190706576,02/22/2019,07/23/2017,1430,,Wilshire,0776,354,THEFT OF IDENTITY,0360,26,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1600    VINEYARD                     AV,,"(34.047, -118.337)"
190805548,02/04/2019,12/28/2017,0900,,West LA,0836,354,THEFT OF IDENTITY,0100 0928 1822,30,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1800    THAYER                       AV,,"(34.0554, -118.4266)"
190806004,02/15/2019,08/28/2017,0800,,West LA,0881,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0913 1803 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,12300 W  OLYMPIC                      BL,,"(34.0319, -118.4563)"
190806301,02/22/2019,01/01/2017,0005,,West LA,0824,354,THEFT OF IDENTITY,1202 0100 1822,67,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1100    CORSICA                      DR,,"(34.0482, -118.5056)"
190806422,02/24/2019,12/01/2017,0100,,West LA,0818,625,OTHER ASSAULT,2004 1218 0447 0913,78,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,,,,HILGARD,WESTHOLME,"(34.0696, -118.4389)"
190905629,02/02/2019,01/01/2017,1200,,Van Nuys,0943,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,32,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,14300    BURBANK                      BL,,"(34.1721, -118.4443)"
190905806,02/06/2019,04/01/2017,0001,,Van Nuys,0937,354,THEFT OF IDENTITY,0100 1822 0928,51,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13900    CALVERT                      ST,,"(34.1822, -118.4356)"
190906073,02/11/2019,01/25/2017,1200,,Van Nuys,0981,354,THEFT OF IDENTITY,0928,60,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,15300    DICKENS                      ST,,"(34.1526, -118.4663)"
190906323,02/16/2019,02/02/2017,1600,,Van Nuys,0981,662,"BUNCO, GRAND THEFT",0800,41,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,15100    GREENLEAF                    ST,,"(34.1506, -118.4622)"
190906354,02/17/2019,02/13/2017,0300,,Van Nuys,0955,480,BIKE - STOLEN,0344 0397,28,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,14300    CHANDLER                     BL,,"(34.1684, -118.4443)"
190906817,02/26/2019,05/08/2017,2359,,Van Nuys,0971,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0924,-1,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,15100    VENTURA                      BL,,"(34.1564, -118.463)"
190906833,02/26/2019,09/23/2017,0001,,Van Nuys,0974,354,THEFT OF IDENTITY,1822 0377,32,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    MOORPARK                     ST,,"(34.1523, -118.4509)"
191006040,02/14/2019,07/01/2017,0900,,West Valley,1027,354,THEFT OF IDENTITY,0377 0928 1822,29,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17100    VOSE                         ST,,"(34.1985, -118.5055)"
